model,attack_family,attack_type,raw_detected_windows,confirmed_windows,total_windows,detected_events,total_events,raw_detection_rate,detection_rate,event_detection_rate
Adaptive Fisher-Weighted Z,recon,host-disc-udp-ping,220,210,277,13,20,0.7942238267148014,0.7581227436823105,0.65
Adaptive Fisher-Weighted Z,recon,port-scan,232,220,290,14,20,0.8,0.7586206896551724,0.7
Adaptive Fisher-Weighted Z,recon,host-disc-tcp-syn-stealth,225,212,304,16,20,0.7401315789473685,0.6973684210526315,0.8
Adaptive Fisher-Weighted Z,recon,host-disc-arp-ping,231,219,304,16,20,0.7598684210526315,0.7203947368421053,0.8
Adaptive Fisher-Weighted Z,recon,host-disc-tcp-syn-ping,221,213,282,15,20,0.7836879432624113,0.7553191489361702,0.75
Adaptive Fisher-Weighted Z,recon,host-disc-tcp-ack-ping,216,209,295,14,20,0.7322033898305085,0.7084745762711865,0.7
Adaptive Fisher-Weighted Z,ddos,http-flood-port-1883,63,56,63,7,7,1.0,0.8888888888888888,1.0
Adaptive Fisher-Weighted Z,malware,mirai-syn-flood,242,236,300,6,6,0.8066666666666666,0.7866666666666666,1.0
Adaptive Fisher-Weighted Z,malware,mirai-udp-flood,292,291,353,6,6,0.8271954674220963,0.8243626062322946,1.0
Adaptive Fisher-Weighted Z,recon,os-scan,266,250,314,18,20,0.8471337579617835,0.7961783439490446,0.9
Adaptive Fisher-Weighted Z,recon,vuln-scan,230,216,313,18,20,0.7348242811501597,0.6900958466453674,0.9
Adaptive Fisher-Weighted Z,web,xss,34,33,34,1,1,1.0,0.9705882352941176,1.0
Adaptive Fisher-Weighted Z,web,command-injection,17,13,158,1,1,0.10759493670886076,0.08227848101265822,1.0
Adaptive Fisher-Weighted Z,ddos,slowloris-port-8000,6,6,9,1,1,0.6666666666666666,0.6666666666666666,1.0
Adaptive Fisher-Weighted Z,web,sql-injection,13,12,60,1,1,0.21666666666666667,0.2,1.0
Adaptive Fisher-Weighted Z,bruteforce,dictionary-telnet,81,86,94,2,2,0.8617021276595744,0.9148936170212766,1.0
Adaptive Fisher-Weighted Z,ddos,slowloris-port-554,9,8,9,1,1,1.0,0.8888888888888888,1.0
