model,device_name,device_type,source_file,attack_family,attack_type,raw_detected_windows,detected_windows,total_windows,raw_detection_rate,detection_rate
Adaptive Fisher-Weighted Z,device_6,security_camera,6.mirai.udpplain.csv,Mirai,udpplain,43028,43027,43028,1.0,0.9999767593195129
Adaptive Fisher-Weighted Z,device_7,webcam,7.gafgyt.combo.csv,Gafgyt,combo,46930,46929,46936,0.9998721663541844,0.9998508607465485
Adaptive Fisher-Weighted Z,device_7,webcam,7.gafgyt.junk.csv,Gafgyt,junk,22641,22640,22644,0.999867514573397,0.9998233527645293
Adaptive Fisher-Weighted Z,device_7,webcam,7.gafgyt.scan.csv,Gafgyt,scan,22157,22155,22159,0.9999097432194594,0.9998194864389187
Adaptive Fisher-Weighted Z,device_7,webcam,7.gafgyt.tcp.csv,Gafgyt,tcp,78199,78222,78227,0.9996420673169111,0.9999360834494484
Adaptive Fisher-Weighted Z,device_7,webcam,7.gafgyt.udp.csv,Gafgyt,udp,88441,88487,88494,0.9994010893393902,0.999920898591995
Adaptive Fisher-Weighted Z,device_8,security_camera,8.gafgyt.combo.csv,Gafgyt,combo,43427,43426,43427,1.0,0.9999769728509913
Adaptive Fisher-Weighted Z,device_8,security_camera,8.gafgyt.junk.csv,Gafgyt,junk,22857,22856,22864,0.9996938418474458,0.9996501049685095
Adaptive Fisher-Weighted Z,device_8,security_camera,8.gafgyt.scan.csv,Gafgyt,scan,20870,21179,22260,0.9375561545372866,0.9514375561545373
Adaptive Fisher-Weighted Z,device_8,security_camera,8.gafgyt.tcp.csv,Gafgyt,tcp,70989,71044,71053,0.9990992639297426,0.99987333399012
Adaptive Fisher-Weighted Z,device_8,security_camera,8.gafgyt.udp.csv,Gafgyt,udp,82897,82970,82976,0.9990479174701118,0.9999276899344389
Adaptive Fisher-Weighted Z,device_8,security_camera,8.mirai.ack.csv,Mirai,ack,89181,89179,89184,0.9999663616792249,0.9999439361320416
Adaptive Fisher-Weighted Z,device_8,security_camera,8.mirai.scan.csv,Mirai,scan,36743,36743,36744,0.9999727846723274,0.9999727846723274
Adaptive Fisher-Weighted Z,device_8,security_camera,8.mirai.syn.csv,Mirai,syn,100569,100568,100572,0.9999701706240306,0.9999602274987074
Adaptive Fisher-Weighted Z,device_8,security_camera,8.mirai.udp.csv,Mirai,udp,121504,121503,121504,1.0,0.9999917698182776
Adaptive Fisher-Weighted Z,device_8,security_camera,8.mirai.udpplain.csv,Mirai,udpplain,62588,62587,62596,0.9998721963064733,0.9998562208447824
Adaptive Fisher-Weighted Z,device_9,security_camera,9.gafgyt.combo.csv,Gafgyt,combo,47506,47505,47519,0.9997264252193859,0.9997053810054926
Adaptive Fisher-Weighted Z,device_9,security_camera,9.gafgyt.junk.csv,Gafgyt,junk,21930,21930,21931,0.999954402444029,0.999954402444029
Adaptive Fisher-Weighted Z,device_9,security_camera,9.gafgyt.scan.csv,Gafgyt,scan,22856,22856,22858,0.9999125032811269,0.9999125032811269
Adaptive Fisher-Weighted Z,device_9,security_camera,9.gafgyt.tcp.csv,Gafgyt,tcp,78389,78450,78460,0.999095080295692,0.99987254652052
Adaptive Fisher-Weighted Z,device_9,security_camera,9.gafgyt.udp.csv,Gafgyt,udp,82299,82374,82384,0.99896824626141,0.9998786172072247
Adaptive Fisher-Weighted Z,device_9,security_camera,9.mirai.ack.csv,Mirai,ack,85741,85740,85750,0.9998950437317784,0.9998833819241982
Adaptive Fisher-Weighted Z,device_9,security_camera,9.mirai.scan.csv,Mirai,scan,34940,34939,34940,1.0,0.9999713795077275
Adaptive Fisher-Weighted Z,device_9,security_camera,9.mirai.syn.csv,Mirai,syn,97974,97973,97984,0.999897942521228,0.9998877367733507
Adaptive Fisher-Weighted Z,device_9,security_camera,9.mirai.udp.csv,Mirai,udp,125668,125667,125668,1.0,0.9999920425247477
Adaptive Fisher-Weighted Z,device_9,security_camera,9.mirai.udpplain.csv,Mirai,udpplain,67546,67545,67549,0.9999555877955262,0.9999407837273683
